match	n	tag	per_adj	base	pref	revised_match
dipercai	2	dipercai<x>_X--				
dipercakan	2	dipercakan<x>_X--				
dipercya	2	dipercya<x>_X--				
diperdayaradio	2	diperdayaradio<x>_X--				
diperdebatan	2	diperdebatan<x>_X--				
diperedaran	2	diperedaran<x>_X--				
diperforasi	2	diperforasi<x>_X--				
dipergaulan	2	dipergaulan<x>_X--				
diperhaitkan	2	diperhaitkan<x>_X--				
diperhatiakn	2	diperhatiakn<x>_X--				
diperhatiankan	2	diperhatiankan<x>_X--				
diperhitunkan	2	diperhitunkan<x>_X--				
diperidiksi	2	diperidiksi<x>_X--				
diperigati	2	diperigati<x>_X--				
diperikas	2	diperikas<x>_X--				
diperikasa	2	diperikasa<x>_X--				
diperikiran	2	diperikiran<x>_X--				
diperikrakan	2	diperikrakan<x>_X--				
diperiksaan	2	diperiksaan<x>_X--				
diperingalkan	2	diperingalkan<x>_X--				
diperintahan	2	diperintahan<x>_X--				
diperitahkan	2	diperitahkan<x>_X--				
diperiukan	2	diperiukan<x>_X--				
diperjuangakan	2	diperjuangakan<x>_X--				
diperkarangan	2	diperkarangan<x>_X--				
diperkejakan	2	diperkejakan<x>_X--				
diperkenankanya	2	diperkenankanya<x>_X--				
diperkertankan	2	diperkertankan<x>_X--				
diperkirahkan	2	diperkirahkan<x>_X--				
diperkirakann	2	diperkirakann<x>_X--				
diperkirakaran	2	diperkirakaran<x>_X--				
diperkirakn	2	diperkirakn<x>_X--				
diperkirana	2	diperkirana<x>_X--				
diperkirkakan	2	diperkirkakan<x>_X--				
diperkrakan	2	diperkrakan<x>_X--				
diperkuatdengan	2	diperkuatdengan<x>_X--				
diperlakaukan	2	diperlakaukan<x>_X--				
diperlaukan	2	diperlaukan<x>_X--				
diperlembagaan	2	diperlembagaan<x>_X--				
diperlimpahan	2	diperlimpahan<x>_X--				
diperluan	2	diperluan<x>_X--				
diperluikan	2	diperluikan<x>_X--				
diperlukanpeningkatan	2	diperlukanpeningkatan<x>_X--				
diperlukkan	2	diperlukkan<x>_X--				
diperlulcan	2	diperlulcan<x>_X--				
dipermaslahkan	2	dipermaslahkan<x>_X--				
dipernalkan	2	dipernalkan<x>_X--				
dipernikahan	2	dipernikahan<x>_X--				
diperntah	2	diperntah<x>_X--				
dipernuhi	2	dipernuhi<x>_X--				
diperoieh	2	diperoieh<x>_X--				
diperoklamasikan	2	diperoklamasikan<x>_X--				
diperole	2	diperole<x>_X--				
diperoleb	2	diperoleb<x>_X--				
diperolehanya	2	diperolehanya<x>_X--				
diperolehdari	2	diperolehdari<x>_X--				
diperolehdenganteknikobservasi	2	diperolehdenganteknikobservasi<x>_X--				
diperolehindonesia	2	diperolehindonesia<x>_X--				
diperolehmelaluitriangulasisumber	2	diperolehmelaluitriangulasisumber<x>_X--				
diperolej	2	diperolej<x>_X--				
diperolen	2	diperolen<x>_X--				
diperosokkan	2	diperosokkan<x>_X--				
diperoyeksi	2	diperoyeksi<x>_X--				
dipersekutuan	2	dipersekutuan<x>_X--				
dipersembahkab	2	dipersembahkab<x>_X--				
dipersengkatakan	2	dipersengkatakan<x>_X--				
dipersiapakn	2	dipersiapakn<x>_X--				
dipersiapankan	2	dipersiapankan<x>_X--				
dipertahanin	2	dipertahanin<x>_X--				
dipertahanka	2	dipertahanka<x>_X--				
dipertajabar	2	dipertajabar<x>_X--				
dipertanakbun	2	dipertanakbun<x>_X--				
dipertangggungjawabkan	2	dipertangggungjawabkan<x>_X--				
dipertanggugjawabkan	2	dipertanggugjawabkan<x>_X--				
dipertanggujawabkan	2	dipertanggujawabkan<x>_X--				
dipertanggun	2	dipertanggun<x>_X--				
dipertanggungjawankan	2	dipertanggungjawankan<x>_X--				
dipertarukan	2	dipertarukan<x>_X--				
dipertemuakan	2	dipertemuakan<x>_X--				
dipertimbangakn	2	dipertimbangakn<x>_X--				
dipertintahkan	2	dipertintahkan<x>_X--				
dipertontonan	2	dipertontonan<x>_X--				
dipertukartempatkan	2	dipertukartempatkan<x>_X--				
dipertuntukkan	2	dipertuntukkan<x>_X--				
diperugunakan	2	diperugunakan<x>_X--				
diperuntukkann	2	diperuntukkann<x>_X--				
diperuntunkan	2	diperuntunkan<x>_X--				
diperutukan	2	diperutukan<x>_X--				
memperadilankan	2	memperadilankan<x>_X--				
memperaiki	2	memperaiki<x>_X--				
memperaktikan	2	memperaktikan<x>_X--				
